headlines,terms,dates
will us wind power splutter out if mitt romney cuts its subsidy? via @guardian,romney,Thu Oct 18 08:29:16 +0000 2012
rt @enviroart: #environment #solar 5 solar power facts that obama and romney did not debate ,romney,Thu Oct 18 08:28:43 +0000 2012
will us wind power splutter out if mitt romney cuts its subsidy? #energy,romney,Thu Oct 18 08:18:16 +0000 2012
"on environment, romney living in fantasy world: on environment, romney living in fantasy world ",romney,Thu Oct 18 07:52:10 +0000 2012
"#environment: on environment, romney living in fantasy world - ",romney,Thu Oct 18 07:04:05 +0000 2012
"#environment: on environment, romney living in fantasy world - ",romney,Thu Oct 18 06:45:49 +0000 2012
"on environment, romney living in fantasy world #eco",romney,Thu Oct 18 06:45:28 +0000 2012
"on environment, romney living in fantasy world - ",romney,Thu Oct 18 06:43:17 +0000 2012
ten questions on energy and the environment obama and romney should answer at the debate | the nation ,romney,Thu Oct 18 06:38:48 +0000 2012
"#fracking #gas #oil on environment, romney living in fantasy world - on ... #news #epa #future",romney,Thu Oct 18 06:20:55 +0000 2012
"on environment, romney living in fantasy world - ",romney,Thu Oct 18 06:15:43 +0000 2012
romney's squawking about birds is much ado about nothing | wired science | #scichat #environment,romney,Thu Oct 18 05:21:42 +0000 2012
rt @lucrinaldi: ask obama and romney about creating jobs and they love oil and coal. ask about the environment and they hate oil and coa ...,romney,Thu Oct 18 04:34:52 +0000 2012
5 solar power facts that obama and romney did not debate ,romney,Thu Oct 18 04:34:05 +0000 2012
romney's charge: obama used bird deaths to attack bakken oil producers. true? via @csmonitor,romney,Thu Oct 18 04:17:56 +0000 2012
@deheleen the debate was very vicious i thought. i think and hope that obama will win. i fear romney's disregard for the environment.,romney,Thu Oct 18 04:01:51 +0000 2012
sound of climate silence: romney and obama spar over who wants to drill for more fossil fuels during debate | alternet ,romney,Thu Oct 18 03:57:05 +0000 2012
"yeah, romney, you're right. the only measure of success is financial. fuck the environment. fuck everything else #debate",romney,Thu Oct 18 03:40:38 +0000 2012
the sound of climate silence: romney and obama spar over more fossil fuels during debate | alternet ,romney,Thu Oct 18 03:02:12 +0000 2012
the sound of climate silence: romney and obama spar over fossil fuels during debate | alternet ,romney,Thu Oct 18 03:01:10 +0000 2012
"@cuestionmarque simply said #romney is a talented vulture. however, vultures are helpful to their environment.",romney,Thu Oct 18 02:33:32 +0000 2012
sound of climate silence: romney and obama spar over who wants to drill for more fossil fuels during debate | alternet ,romney,Thu Oct 18 02:18:38 +0000 2012
@audubonmagazine #amazes romney's comments show his entire callousness toward the environment. it's not just @bigbird who he'll screw over.,romney,Thu Oct 18 01:58:16 +0000 2012
#environment #solar 5 solar power facts that obama and romney did not debate ,romney,Thu Oct 18 01:30:23 +0000 2012
will us wind power splutter out if mitt romney cuts its subsidy?: sitting in the bright green conference room of... ,romney,Thu Oct 18 01:25:19 +0000 2012
"romney energy independence he'd gut the epa, &amp; allow mass drilling anywhere &amp; everywhere. our lands, our oceans, our environment laid waste.",romney,Thu Oct 18 01:05:23 +0000 2012
will us wind power splutter out if mitt romney cuts its subsidy? ,romney,Thu Oct 18 00:43:01 +0000 2012
rt @ecomanleader #earthtalk #energypolicy #environmental earthtalk: obama and romney on the environment... ,romney,Thu Oct 18 00:30:02 +0000 2012
romney leading obama in a poll. sigh. must go to my happy place. both lousy on the environment anyway.,romney,Thu Oct 18 00:20:20 +0000 2012
holy shit. romney is anti-environment. does he really think resources are gonna last for 8 years and more?! #keepitrealson,romney,Thu Oct 18 00:17:06 +0000 2012
#earthtalk #energypolicy #environmental earthtalk: obama and romney on the environment ,romney,Thu Oct 18 00:12:32 +0000 2012
earthtalk: obama and romney on the environment: earthtalk® is a weekly environmental column m... via @earth_warming,romney,Thu Oct 18 00:11:14 +0000 2012
@ccbarn thank you. my biggest concern was romney's lack of care for the environment &amp; slant drilling from mexico &amp; canada. #pipeline,romney,Thu Oct 18 00:05:27 +0000 2012
"haven't heard any mention of environment protection in the debates, nobody cares anymore? i think romney will be bad for the environment.",romney,Fri Oct 19 22:09:31 +0000 2012
will #us wind power splutter out if mitt romney cuts its subsidy? #environment #renewable #energy ,romney,Fri Oct 19 21:56:22 +0000 2012
"romney isn't ideological, more willing to adapt to environment to environment than bush ",romney,Fri Oct 19 20:39:23 +0000 2012
"we need a president who is smart, knowledgeable of his international environment, cool under pressure #cmc50 (rules out romney?)",romney,Fri Oct 19 20:32:40 +0000 2012
